question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
二項分布B(20,0.3)に従う確率変数Xの期待値として正しいものはどれか。	0.3	6	14	4.2	2	二項分布B(n,p)の期待値はnpである。20×0.3=6となる。	s04_u02,二項分布,期待値	1	2	FALSE
二項分布B(20,0.3)に従う確率変数Xの分散として正しいものはどれか。	6	4.2	0.21	14	2	二項分布B(n,p)の分散はnp(1-p)である。20×0.3×0.7=4.2となる。	s04_u02,二項分布,分散	1	2	FALSE
二項分布B(5,0.2)に従う確率変数Xについて、P(X=0)として正しいものはどれか。	0.2^5	0.8^5	5C1×0.2×0.8^4	1-0.8^5	2	成功回数が0回なので、P(X=0)=5C0×0.2^0×0.8^5=0.8^5である。	s04_u02,二項分布,確率計算	1	2	FALSE
二項分布B(5,0.2)に従う確率変数Xについて、P(X≥1)として正しいものはどれか。	0.2^5	0.8^5	1-0.8^5	1-0.2^5	3	少なくとも1回成功する確率は、余事象を用いて1-P(X=0)=1-0.8^5と求める。	s04_u02,二項分布,余事象	1	2	FALSE
二項分布の確率P(X=x)=nCx p^x(1-p)^(n-x)におけるnCxの役割として最も適切なものはどれか。	成功確率を表す	失敗確率を表す	成功がx回起こる順序の数を表す	試行回数を確率に変換する	3	nCxは、n回のうち成功がx回起こる位置の選び方、つまり順序の数を表す。	s04_u02,二項分布,組合せ	1	2	FALSE
二項分布を用いる条件として不適切なものはどれか。	各試行の結果を成功・失敗に分けられる	試行回数があらかじめ決まっている	各試行の成功確率が一定である	前の試行結果によって次の成功確率が変わる	4	二項分布では、各試行が独立であり、成功確率が一定であることが必要である。前の結果で確率が変わる場合は二項分布として扱えない。	s04_u02,二項分布,適用条件	1	3	FALSE
袋の中に赤玉3個、白玉7個がある。玉を1個取り出して戻す操作を5回行い、赤玉の個数をXとする。Xの分布として最も適切なものはどれか。	B(5,0.3)	B(5,3)	B(3,0.5)	B(10,0.3)	1	毎回玉を戻すため、各試行は独立で赤玉が出る確率は3/10で一定である。よってXはB(5,0.3)に従う。	s04_u02,二項分布,復元抽出	1	3	FALSE
袋の中に赤玉3個、白玉7個がある。玉を戻さずに5個取り出し、赤玉の個数をXとする。このXについて最も適切な説明はどれか。	B(5,0.3)に従う	B(10,0.3)に従う	各回の成功確率が変わるため、二項分布とはいえない	赤玉の個数なので必ずベルヌーイ分布に従う	3	玉を戻さない場合、取り出すたびに袋の中身が変わるため、赤玉が出る確率は一定ではない。二項分布の条件を満たさない。	s04_u02,二項分布,非復元抽出	1	3	FALSE
ある選手のフリースロー成功率が0.8で一定とする。10本中8本成功する確率を求めるとき、最も適切な式はどれか。	10C8×0.8^8×0.2^2	10C8×0.8^2×0.2^8	0.8^8×0.2^2	8C10×0.8^8×0.2^2	1	10本中8本成功する確率は、10C8×0.8^8×0.2^2で表される。	s04_u02,二項分布,確率計算	1	2	FALSE
二項分布B(n,p)でp=0.5のとき、分布の形について最も適切なものはどれか。	左右対称になる	必ず右に歪む	必ず左に歪む	nに関係なく一様分布になる	1	p=0.5の二項分布では、成功と失敗が対称になるため、分布は左右対称になる。	s04_u02,二項分布,分布の形	2	2	FALSE
二項分布B(n,p)でpが小さいときの分布の特徴として最も適切なものはどれか。	成功回数の小さい側に確率が集まりやすい	成功回数の大きい側に確率が集まりやすい	常に左右対称になる	すべての成功回数が同じ確率になる	1	pが小さいと、成功は起こりにくいため、成功回数の小さい値に確率が集まりやすい。	s04_u02,二項分布,分布の形	2	2	FALSE
二項分布B(n,p)の標準偏差として正しいものはどれか。	np	p(1-p)	√np(1-p)	np(1-p)	3	標準偏差は分散の平方根である。二項分布の分散はnp(1-p)なので、標準偏差は√np(1-p)である。	s04_u02,二項分布,標準偏差	2	2	FALSE
